		sentence_1	sentence_2	marker
2	144648	I would love to have you with us and .	Could really use the help .	but
4	2817	Therefore then it is removed .	The appendix is infected .	when
0	113770	Where the function rooms were .	There were only three .	and
2	30749	Her constant betrayals are wounds that i know i can learn to ignore .	I 'm not sure how or if they 'll ever completely heal .	but
3	134454	Shed be a sloth .	Her life could be compared to any animal .	if
4	43041	He took hold of nancy 's arm and turned her .	A familiar face met his .	when
0	70703	Just tell him ! '' .	Then he can go .	and
2	88805	Peter could see their flashing lights .	The road itself was hidden by brush .	but
0	26407	I let out a slow , careful breath .	Felt tears sting my eyes .	and
2	62273	They were supposed to be for him .	They were really about me .	but
2	43137	He looked around for help .	There was none in sight .	but
2	82559	My dad sent me money for my textbooks .	The only other money i ever took from him was the time i wrote home in a panic because i was flunking funnybook french .	but
0	28360	Well , here we 've all been working on your behalf .	This morning we thought we 'd succeeded .	and
2	54449	You/they were not stream .	It was sure that what felt under the fingers was something more of the simple sweat .	but
0	156577	When she abruptly halted us .	Her eyes snapped to my face .	and
4	135898	However , zokla smiled .	He saw the men heading in the direction of kotaks private study .	when
0	151556	You might ride home .	Tell your people that your campaign brought an end to the border dispute .	and
3	126265	Why should not the chairman simply order the investigation stopped ? '' .	Amadiro was so persuasive .	if
3	22068	Brian were not going to put on any witnesses at all .	This does go to trial .	if
0	33073	Laila gave me a small shake of her head . '' .	Said under her breath , `` not unless you want to turn trevor 's brain to mush .	and
2	108091	Some of the wait staff may have been dressed like stepford wives and pin-up girls .	They were boasting such a wide array of tattoos and piercings it was like a photo shoot for bamf monthly .	but
2	107284	Patricia didnt know the law firm except by reputation .	Dereks connection to the profession made him easy for her to trace .	but
3	90256	To talk to me .	Even all he said sounded like damn riddles .	if
4	144976	Who had been in the cage next to mine .	Will had held me captive stared back at me .	when
2	5866	We 've been nothing transparent with each other `` that he loves you , but he loves your mother .	So i give her that respect when i say .	but
2	28793	She was no longer the ten-year-old girl they 'd raised after their mother 's death .	They still insisted on meddling in her life .	but
2	53360	Her calandran leather travel boots would be the most practical .	They were so difficult to coordinate .	but
0	69308	Anyhow , we had demonstrated one thing .	That was that we could penetrate the cloud shield and reach the martians in their hiding place .	and
3	36752	I 'm not sure .	I 'm disappointed or .	if
2	78270	One of them is going to blow .	I cant tell who its going to be .	but
0	129447	Our conversation this day has run in circles .	Nothing is being accomplished .	and
2	154393	My heart raced as i stepped over to the side of the road to let the car pass .	It came closer it slowed , and eventually stopped about thirty feet from me .	but
3	113390	You know you would never have escaped from my country alive. .	You had harmed me .	if
2	58530	He watched the bartender .	The man had already moved away and was serving the next customer .	but
2	139864	Not it was his fault .	What he represented to her .	but
3	10173	The same could work in reverse .	We shut down sharing with the rest of ct and ci .	if
0	65067	The shaft , still lodged in his shoulder , limited his movement .	Now the arrow to his leg gave him a sick realization that the leg was compromised .	and
3	91389	One might say , why that was a year ago .	Ever a reply came asking to see .	if
1	119151	Fortunately , it was easier today .	The children were in school instead of trying to help .	because
0	70751	The wound was jagged .	Hurt like a mother .	and
4	93784	He whispered , `` have a care , we are in public . '' .	He and gwen touched hands .	when
3	153496	The police can do he left the sentence hanging .	This is the best .	if
4	51554	Being back to all those years ago .	David and peter were forever together and mathew would call round in the evening to collect his younger brother who never wanted to go home .	when
0	63246	The rest of the shadowhunters had spread .	Were canvassing the bank , sweeping it with those odd things they used-sensors-checking every corner for demon activity .	and
0	1202	Longbow , chief white-braid , and chief old-bear were waiting for them .	They led the way on into the cave .	and
0	67965	You 've wanted me dead for a long time now . '' .	You saw a chance to finally make it happen at the museum .	and
0	133396	That night , mom and i went back to that chinese place .	I told her i was ready to leave .	and
3	11683	I would have killed him right in front of tony and then allowed tony to arrest me and haul me in .	Kelvin had been anywhere around at the moment .	if
0	92483	Micah , on the other hand , shoved his middle finger in her face . '' .	Mouthed , `` whore .	and
2	72064	All right , they do not explode into flames .	They can not enter .	but
2	44236	I always felt you had some design in mind .	What could it possibly have been .	but
2	83818	James , '' she started to say .	Then his other hand slipped up and cupped her breast .	but
2	18059	At first , she didnt know how to go about doing such a thing , and they all got really quiet .	Then , they told her to concentrate .	but
1	84275	The gardens were empty .	It was the full moon and they were closed for heavy maintenance .	because
2	30148	Her dress had collected some dust .	It shimmered and i could see it falling off in a cloud .	but
4	108976	However kylie felt a flicker of guilt for not liking him .	The man put his arm around her mom and gently kissed her brow and told her she could sleep while he drove .	when
2	56141	You 'd think that would teach him a lesson .	No , he got monsieur po-face bertelin to give him a speedboat for his birthday .	but
4	155191	You broke the curse .	You gave them the diamonds .	when
0	115394	She catches my eyes with hers in the window .	Smiles as she encourages me on .	and
4	107199	What i had best do .	The driver , looking at her watch , said to the others something which i could hardly hear .	when
0	51348	Sarah grabbed the knob .	Pulled the door open .	and
4	100824	It turned out her teachers were way harder on her .	She didnt turn in assignments or did poorly on her test .	when
3	155612	Bad things happen . '' .	It ever becomes free , and it has at times .	if
2	77906	Nox expels a strained , noisy breath with every bounce as if i 'm suffocating him .	I ignore it and ask my sister in a rush , `` how are you .	but
3	71138	You better take it up with him .	You want me to stay .	if
2	91483	Aria screamed and noel was too heavy .	Tried to get out from under him .	but
2	89242	She licks her lips .	Ive got no interest in a second go at her pussy .	but
4	154254	He was relieved to note that bocks jeep was parked away from the floodlit area at the front of the block among several other vehicles .	He finally made it to the corner of the site where the accommodation block and the control tower were located .	when
2	50757	Shehad hoped to make a reservation on the 7:00 a.m.flight last night .	The sudden , unnerving intrusionof prudhomme had ruled it out , and by the time shecalled touraine from the pont royal there were noseats it was summer and mont blanc was a touristattraction .	but
3	28862	Your precious father in heaven couldnt play the good guy .	We werent doing our part .	if
2	100106	* * * marcus remained near the table .	Stayed a few feet away from .	but
0	28708	Dasen locked the oddity into his memory for later contemplation .	Focused on listening for the attackers positions .	and
2	97755	My mustang was the only vehicle moving on the streets .	There were signs of life , most of which were disturbing .	but
4	78266	Yess sublime album 90125 paled .	Austin played frankie goes to hollywoods relax , a song that had incredibly so far failed to go top-40 .	when
0	152580	At the same time he let go of danny .	Dropped to the forest floor on his knees .	and
2	156408	She had no idea .	She needed to find out .	but
3	60840	`` and ... '' tremont smiled up at her .	Reba cordova knew jane doe .	if
2	140855	I know youve had a tough day .	I get the feeling that theres something else bothering you .	but
1	8420	That still ran underground from the tohono territory .	The government didnt have the authority to enter their lands and completely remove them .	because
3	45975	Then this is all for nothing .	You let him die without me raising the dead .	if
2	85477	`` izzy , elizabeth said you would want to look for them . '' .	She said you would never find them .	but
2	35304	He should have felt dispirited and tired .	Instead he felt strangely elated .	but
4	83217	`` , '' she said , `` it 's like that scene in fellowship of the ring when the hobbits are hiding from the nazgul . '' .	I think about her coming .	when
2	135128	Not only were they strengthening their bodies .	The chant got them used to one another 's rhythms , which would translate to better combat timing .	but
0	102096	She gave him an uncertain smile .	The upward movement of her face caused two fresh tears to spill from her eyes .	and
2	156565	They may be getting on in years . '' .	They 're warriors , grace-warriors to the bone .	but
3	101338	It will be on their heads .	They destroy the stone .	if
4	9509	Oddly enough , that is .	I got my confirmation .	when
3	53365	You would do the same . '' .	You lost your hailey may .	if
3	151490	One or two infected , or none at all .	Especially you think she got it .	if
3	48305	Sarah had a threat that she had not used yet but was willing to , if needed .	Even he resisted and protested .	if
2	146784	Jack cole is a breast man , and . '' .	You 've got a great rack .	but
4	149328	I was at the computer lab on the campus , i said .	I had to get something from the filing cabinet .	when
2	157887	Yes , well , i 'm sure you have a point , sariana .	It does seem a pity for you to miss so many lovely parties .	but
0	27341	All it was , he knew it .	All this magic was bullshit .	and
4	121953	To call the dispatcher .	She heard the sirens and checked her phone .	when
2	146149	It maddened her to not understand .	She hated to poke and pry .	but
3	149987	She would be killed .	She stayed at the howling moon .	if
4	27731	`` nice , '' he added .	I shot him a look over my shoulder .	when
0	10542	He gave her a wicked smile .	Wrapped his hand around it , slowly working it up and down its considerably length .	and
0	114239	To go back in time .	Save a crashed pilot .	and
4	81847	To speak to him .	I could bring myself .	when
0	41296	Talaith grabbed hold of arzhela 's hand .	That 's when arzhela yanked her close and wrapped her free hand around the woman 's throat .	and
2	50389	Mastiffs are lovely creatures .	Can be so loyal that it is hard to have company .	but
0	16566	Shelby stood with her hand still on the doorknob to the blue bedroom , the one where the ghost of nanny baskins resided .	Took a long lingering look at the sleeping male form on top of the white eyelet spread .	and
2	51366	The king may be an obtuse boor with the manners of a swine herd .	He is still the king .	but
3	84761	Then this breakdown means that she is headed back to that dark place she lived in for a while .	She tells me no .	if
3	121263	The ballroom and dining room must be packed full .	People are mingling out .	if
2	4823	I returned the smile .	It felt counterfeit-as though someone else had shaped my mouth into a happier contour than i was capable of feeling .	but
3	92968	The micmac would have casually won their duel with his opening strike .	His foe had been only some mortal warrior .	if
1	108500	Then lora bit him .	The pleasure was that good .	because
3	3056	This was going to be a great experience .	This was an example of colorado food and hospitality .	if
2	14921	Were just a school of tokens .	I think its the exposure to such different cultures and types of people that creates the comfort in this school when discussing religion and such .	but
3	12679	She might have been able to buy herself a car .	Kira had a dollar for every time she 'd heard that .	if
4	62649	Why had she felt so desolate .	She believed she was saying goodbye to him .	when
2	80045	They aint found her body yet and .	Its driving the sheriff nuts .	but
2	105644	He had received more prophecies that the woman would escape .	Always he believed the seers existed to help him shape the future , not simply to predict it .	but
3	158648	He was too tired to fly until he caught up on sleep .	He was tired enough to need a nap in the middle of the day .	if
3	154861	Ill fix you a plate of food and bring it .	You dont feel like coming .	if
0	127126	Maybe we 'll get lucky . '' .	Someone will have seen something .	and
0	77456	The staircase below me lit up .	Within seconds hot flames licked the walls and made their way back up the stairs toward me .	and
2	151464	He still had hold of her arm .	She was pulled tight against his body , hiding the grip he had on her from other people .	but
0	67530	Every one of them tore through him .	Shredded what little ego he had .	and
2	156441	They provided a haven from everyone .	Today they just felt empty .	but
0	10179	Mindless faces appeared at the top of the stairs leading down to my apartment door .	Grevane 's killing machines leapt down them , straight at me .	and
4	67240	They slowly made their way back to the stables .	The giddy waves of laughter eventually passed .	when
4	122834	Everyone is going to want to know all about it .	Word gets out about the details of the production .	when
4	33244	How did you feel .	You saw me naked .	when
1	148982	He had once felt like a god so his descent felt fitting .	He felt like he had been thrown from the throne of paradise .	because
1	56632	Phoebe and especially bastien hurt more .	They were operating under the pretense of friendship .	because
2	133822	It was almost time to leave for work .	The last place nikki wanted to be was at the club .	but
2	129989	His mind was still trying to react around her .	It was not working out .	but
2	74167	It had been a memorable day in every respect .	More was to come in the next few weeks .	but
0	59878	Seika and chimol looked at each other .	Had the same thought .	and
4	102908	I avoided her eyes .	She looked at me because i was so angry at myself for letting that statement slip .	when
1	11758	This was , he would find .	She 'd located darrin 's will and she wanted to hand it over to him .	because
2	136866	He wants this as much as you do .	You are the one who must make the effort to look .	but
4	73474	Pollys defensiveness asserted itself , clearly dwarfing its surroundings .	She looked down and saw the grey monster .	when
2	74397	I wanted to believe her .	It was entirely possible for a person to be at detweiller 's house at nine , then beat it to the airport by nine-thirty to meet a plane .	but
0	99315	`` someday ... '' he began .	Let the idea trail .	and
2	40694	I open my mouth to say something .	He cuts me off .	but
4	45292	The light seemed so bright that lodden threw his arm up to shield his eyes .	Maran opened the door .	when
0	143514	My names homer smith .	This heres my brother , elmer smith .	and
0	104255	They can smell it .	It 's that scent that makes them want to attack you .	and
2	147615	Raymond had had a miserable batting average .	He managed to strike out his boss once in humiliating fashion .	but
0	54228	It was heavy , forgetting the flag and telling jonesy to open the cargo doors to the three rear compartments .	He returned to the rear of the craft .	and
0	74985	Unfortunately he recognised me .	Sent his guardsmen after me .	and
3	121176	He would be lost to the accident that faced him and would be beyond the ability to help her .	He allowed his mind to dwell on the razor sharpness of his feelings .	if
0	149025	He took my hand with one of his .	Rested his forehead on his other hand .	and
2	62769	I admit that i am somewhat jealous of this .	I quickly put it .	but
0	45572	Good smells , arya told herself .	Felt a little braver .	and
2	120229	Shes not alright , gregorys stomach iced up , shes unharmed .	Then relaxed when the vincent went on .	but
4	112836	Why the naked eye only sees a creamy ivory shade .	Observed in stone or grain form .	when
2	133603	This guy wasnt a tracker , and .	He didnt seem to have known what he was doing .	but
2	126618	She had a bit more confidence in him than she was willing to admit .	She was all too well aware that he was not a people person .	but
4	49323	The point at the end of the island had been clear .	Angel had passed a few minutes earlier .	when
0	68910	I pushed back the hair from my face .	Watched as beelzebub 's soul began to waver .	and
0	112194	He cradled her face as if she were a very precious thing , and this time awakening it as he beamed at beauty , his thumb softly pressed to her lips again as if to say : `` be good , little one . '' .	Then he stroked her sex again in that same loving fashion , patting it .	and
0	86733	Because it is ismae , she simply smiles and . '' .	Says , `` you 're welcome .	and
0	129972	I have changed throughout the years and one day my magic will be more powerful than yours , keenoth said .	Released edd from his spell .	and
0	126729	*** once they were in the pass proper , the party moved faster .	They reached the tall iron gate of the north keep well ahead of sundown .	and
2	2713	Oh , all grown men seem tall to little kids - and he had white hair .	This guy was very tall .	but
2	129258	Austin had a thousand terrible threats on the tip of his tongue .	He was able to withhold them .	but
0	408	Go of the rope with relief .	Moved to the edge while bart held them all by himself .	and
0	40329	He 'd been a charmer .	Had had her convinced she was his one and .	and
3	58322	It would guarantee him or her victory .	She threw andor 's support behind one of these .	if
4	74848	A few minutes later , she silently cheered .	She reached his long and wide feet , giving each a few quick swipes with her towel .	when
2	105087	Surely he thought it was .	Emma found it odd how easily it fit .	but
4	82595	They were still giggling like kids .	They entered the building .	when
0	23191	That might engage their young minds .	Help wile away the unrelenting years .	and
2	60642	His fishing expedition was obvious .	Damned she 'd tell him straight out andy and her were platonic .	but
4	158616	He waited for kher 's order .	The landlord brought over tankards and set them on the table .	when
0	30606	The dog really did walk about twenty to thirty metres and .	Then give a very strange-sounding and uniform three barks .	and
2	52766	Well do what we can .	Well have to be hellish careful .	but
0	138144	Cadfrawd had time to kill before his meeting with lord arthfeal .	So he made his way through the winding tunnels to battle pits , where drow were trained in the arts of combat .	and
2	66542	Her face was buried in fritz 's fur .	He was almost certain she 'd told him to leave .	but
0	107662	He made a small noise , like an exhalation of breath .	Slumped forward , head down and hair covering his eyes .	and
4	108733	And , your pieces will disgust everyone .	They hack you up .	when
2	142530	`` staying human to be with a human is one thing . '' .	If i ever find you in the arms of another vampire , i 'll turn you myself .	but
0	87640	Patrice came up behind me ruffled her fingers through the strands .	Shook out the uneven braids i 'd painstakingly woven .	and
0	123349	The dark circles receded .	He began to look human .	and
2	66530	The pictures are wonderful .	I want to hear what you think .	but
2	60681	Suddenly , a knife penetrated the meat of his shoulder as clubs beat him over the head .	He was feeling at peace .	but
4	143795	I 'm standing at the window , gazing up at a tangerine dream of a sky .	I hear his steps outside .	when
0	115295	Who stood over six feet tall .	Had long , curly black hair and haunting brown bedroom eyes .	and
3	129734	How could she kill me .	Even i walked right into her arms .	if
0	2898	That my dad escaped jail .	I 'm afraid he might come after my mom .	and
2	6859	His fingers had strayed to his pocket time and .	Again and hed fiddled with the note the entire evening .	but
2	28304	The crew grumbled amongst themselves .	Edwards ignored it and began dividing them up into work forces .	but
0	137647	I was drawn to the dancer on the stage .	She danced seductively for me .	and
0	17918	He came back in .	Passed a blanket to denise .	and
2	44044	He was not a wealthy man .	He did like to live in upscale apartments , and his present abode fit him .	but
0	22648	I grabbed my coat .	Climbed out of the car .	and
0	106147	Inside the tent , however , the sultan and i , had no problem discussing the finer details of romance .	It seems as if we were hitting things off to a wonderful start when he asked me to partake in something that is a not so rare pirate delicacy .	and
2	83470	The girls left , even after the door swung shut behind them .	Channie could still hear their laughter echoing through the halls .	but
4	149540	She said to him without hesitation , while her mother was present sir hugo , i wish to see mr. deronda again as soon as possible .	She was in park lane and knew that the baronet was about to go down to the abbey .	when
0	123571	Yep , it 's him , '' a new , low voice drawled .	Jenks 's wings clattered .	and
2	158715	When i reached the fourth floor , my eyes scanned the cars .	I didnt recognize any of them .	but
2	46661	I scream to sarias men to help .	Now i can see they are struggling against some invisible hold and can not move .	but
3	145477	`` then why do i always have to take your dishes to the sink ? '' .	I 'm so awesome .	if
0	33652	They made it out .	They are the only one i have seen besides you two .	and
0	44212	The old man still looked very gray .	His breath was rasping .	and
3	17187	I know a place where no one will ever think to dig .	You hurt my daughter .	if
4	18356	`` , i need my magic .	We do find her .	when
4	24285	I could see his face .	I rose on my elbow .	when
2	96466	I 'd hoped that one day jason and i would figure out the key to reversing vampirism and that maybe i 'd know what it was like to hear david 's heart beat under my ear .	The truth of that wish occurred to me only then : even if those power were still possible , david would be long dead before i figured them out .	but
4	3403	Her heart had stopped .	She 'd realized that lord hope was about to run into the open to go to henry the footman .	when
4	16774	I feared id lost my charm .	She didnt respond to me .	when
3	127698	A lie , would be the absolute truth .	Her brother really had hired him to protect her .	if
4	56677	She had to agree .	She looked at them .	when
0	125732	We heard you yel ing . '' .	We 've been fighting all morning .	and
4	38591	I notice sometimes shes .	People talk to her .	when
0	139139	Chu rolled his eyes .	Chuckled , a sound that was thankfully whipped away by a surge of wind .	and
0	14062	Except alexia , who did not comprehend the gravity of the insult .	Was occupied trying to pick the last of the meringue off her husband 's dinner jacket .	and
0	137869	She pushed her bead into the tip of the stick , feeding energy into it .	Stretched it into a broad line .	and
2	116861	`` i 'm taller , and . '' .	I can beat your ass .	but
1	79403	Which just sent a shiver through her .	She remembered how much she 'd always liked his laugh .	because
2	55503	Before i could pick my jaw up off the floor and roll my tongue back into my mouth , the waitress appeared out of nowhere and , jarring me from the illusion that noah and i had just shared a private moment .	Set a glass of soda in front of each of us .	but
4	156888	He met the guys eye as he passed .	They called jjs order .	when
0	96911	Della spouted the moment they stepped through the clearing .	Got their first glimpse of the falls .	and
0	98891	The two men bowed .	Backed out of the room .	and
2	144389	My hunger had no specific desire for her .	Those small pinpricks of pain roused it that night .	but
3	38564	Regent jenner stay here have your war horn at the ready , i want you to blow it before you even think about using the bow said juruz .	The enemy attacks the gate .	if
2	114639	I do , will responded .	Didnt advertise his badge .	but
2	159129	This is my senior year and about getting into the right college and doing well on those sats .	Not only am i going to need to worry about graduating .	but
3	104152	He 'll definitely have suspicions .	I drag her away from her mother .	if
4	133748	Two other people were sitting where angie had been .	They came to the bar .	when
4	139186	The only thing inside the elevator was a small two-way radio .	It arrived at the ground level and the doors slid open .	when
0	155648	He signaled the other two .	They hurled pugsy 's last bodyguard off for serious core time .	and
3	51514	Why did it feel like so much more .	This was just sex .	if
0	11826	This map of the north atlantic is approximately to scale .	Shows cities and regions that play a role in this story .	and
2	121907	I kept trying to swallow the bad taste in my mouth .	The more i swallowed , the queasier my stomach grew .	but
2	55954	She 'd tried for a matter-of-fact tone .	Her eyes teared up .	but
0	159368	The fog had dampened the dirt surface of the road .	The sound of their horses ' hooves was muffled .	and
0	51042	The air was warm .	The harvest was almost finished .	and
1	62807	No , the reason there 's nothing to fear in the dark is .	Real monsters lurk in the light .	because
4	12476	Thankfully the cook ( doms wife ) clobbered the commissioner with a pan .	He tried to run out .	when
3	134359	He had begun to wonder .	This was ever going to happen .	if
2	140633	Only made the pressure on my chest worse .	The smell comforted me .	but
2	141590	When they 'd almost had a fevered pitch to them .	Then they deepened and my heart kicked up , thumping in my chest .	but
2	14323	I declined , mostly because i knew i 'd be the only one drinking .	I appreciated the effort .	but
2	149520	I wished his concern had been enough to drive the demon queen out of my head .	He could either accept me or he could n't . .	but
3	62496	Then you 'll know .	You 've read about me .	if
0	51318	Geoffrey simply removed his belt buckled it tightly around her quivering chin .	The redhead tried to dislodge the makeshift gag , but .	and
2	125079	She had hoped that they would go to college .	Neither of them had shown any interest , though haley was taking online classes .	but
0	99954	My good-sister is not hard to look upon , you will have noticed .	A stout castle and broad lands add to her charms .	and
2	145197	It surprised him to feel protective of someone he just met .	He couldnt help himself .	but
3	101048	The other biker must be raj .	I am correct in my speculation .	if
2	17667	The waters were calm .	There was a favourable gust in the winds .	but
4	137965	To cower behind some bushes .	I saw headlights closing in on me .	when
3	11078	I needed to be near someone who could help me fight .	She was going to try to take me over .	if
0	22510	She unclasped her cloak , laying it to the side ... pluck sighed and muttered , more than a season of this .	Released her tail from around her waist as she exclaimed .	and
2	133143	I think he 's alive .	I 'm not sure .	but
3	85829	He might gnaw on us .	Given half a chance .	if
0	900	Hysteria practically leaps up .	Grabs hold of me .	and
2	4782	Clara attempted to sound in control .	Tony heard the panic and anxiety in her words .	but
4	121167	It was hard to do .	All i wanted was to be in shane 's arms .	when
2	108121	As we knew before the jump , starship sirona chose to stay .	Starbase matrona is nowhere in sight , admiral .	but
4	76054	Only two years younger , shed been four .	Mother had been chosen .	when
0	86816	She 'd finished with my belt .	Moved on to my button and zipper .	and
3	133584	It sometimes set off a brawl .	The other guy was a jerk that made some suggestion about other rather impolite things that josey 's momma used to do .	if
4	106407	To see such weakness .	I knew of the sadistic delight it would bring him .	when
0	47784	I merely pointed at the mountain goat far on the other side of the rocky cut .	Let the talon go .	and
2	22409	Then , more seriously , he said , `` if you need more money for havenhurst , just tell me .	Your allowance is to be spent exclusively on yourself .	but
2	6188	The books were all gone now , and a musty , mildew scent had settled into the pores of the surrounding wood .	Rescued when their headquarters had been taken over by them .	but
2	52350	Clay watched to see if any of the crazies would try breaking into any of the houses .	Although they occasionally walked on the lawns , they showed no signs of graduating from trespass to burglary .	but
2	104171	The old man had not understood his only son .	He had stood by him .	but
2	127496	She wrote the place and address on a piece of paper on the notepad by the phone , and . '' .	If something i know about my puteri well , is that always put a lot of strength and pressure when she wrote , chances are we can see the marks on the next sheet .	but
0	142466	I 'm the traveling big shot .	Your boss wants to make sure i 'm happy .	and
2	64922	I didnt know what he was looking for .	I wanted to know the second he found it .	but
0	19367	Have kicked off her boots .	Reclined before a floor-to-ceiling window to take in the stunning nighttime view of the capital .	and
0	143820	Two have some shit to talk about .	That 's just great .	and
4	32638	He creeped me out .	I first met drew 's dad .	when
0	66054	So , promising himself that he 'd push the irritating little so-and-so into the next available cold water when he got the chance , the hunter had silently eased himself out of the canoe .	Then pulled the apprentice up onto the landing stage .	and
4	130050	It wouldnt be identified .	He lent it to the exhibition .	when
2	120148	Her information was interesting .	We still do not know what the power eater plans for the night of the hunter 's moon .	but
4	140188	How mad he would be at me .	He found out what i had done .	when
0	150986	She had just slid into it .	Was bending down to tie up her boots when the door to her room burst open .	and
4	130778	They might leap from their concealment and rescue her .	Our enemies produce queen ehlana to exchange her for bhelliom .	when
2	129140	After all , the episode with doc jane and john 's procedure had helped her phobia .	She had quite enough to deal with at the moment and the last thing she needed was to walk into another operation -- and god only knew what they were doing to that poor female who 'd been rolled in after her .	but
0	46736	Eric was a doctor .	Specialized in gene therapy .	and
4	75895	However she had already disappeared from view .	He looked back in katrinas direction to see if she had heard him .	when
3	109204	'' he replied with a lusty grin .	The owner was going to nail you .	if
0	102249	There are no tables .	The only thing turning is the earth they stand on .	and
4	22243	I glared at him as he looked down at my face .	Winkler hung up after a while .	when
0	8875	Corbin drew a flask of water from a hidden pocket , you know then what this will mean for you and your future relationship to your people .	Said to the eager creature .	and
0	104132	Then i pulled it out .	Backed up all the way .	and
2	76327	Speech and action failed me and .	I drifted away into a curious sea of unconsciousness .	but
2	34458	The destination address is a po box and , and nobody steals books out of the mail .	He sends it book rate .	but
3	32378	I would have worried less . '' .	He 'd stolen things , or come in while i was .	if
2	79109	Captain , i dont know what theyre up to .	I cant hear anything in .	but
2	156123	There were laboratories run by otters .	They were all far away in europe or on the space station .	but
3	47940	Us fly they can also help us swim .	These suits can help .	if
0	78681	It was only a whisper .	His eyes had kindled a bright new flame .	and
2	118721	There was a guard on the rear door of shatta .	Before he could even think of turning away trev and his bodyguards , pepe appeared .	but
2	40264	Ben slipped in the snow .	He was able to stay upright .	but
2	121814	After dodging a jab , hilda threw a right , which was fast , and lea blocked it .	Single punch blew away her guard .	but
3	85833	How much richer would the long years of her life have been , but chosen to live for something else , like friendship or love .	She 'd still sought a way to stop kramer .	if
4	53932	Jinny said he was ready to go .	They arrived at 8am .	when
4	68607	The horrifically scarred face of the boy nyk had been .	They 'd first met as children .	when
0	47735	By then dawn had brushed the bluffs and hills of vicksburg .	The eli reynolds had her steam up .	and
2	113911	Never lacking in funds , my guardians were confident that it would be defeated given proper payment , and the mass hallucination of coinage is meaningless to a parasite .	Money means nothing without brilliance .	but
4	25159	The endearment had just exited his mouth .	The door flung open and a scowling bouncer named bobby appeared .	when
2	66533	He had thought hank to be simple at .	It had gradually dawned on him that hank had a way of asking every question that came into his mind rather than filtering out the asinine ones .	but
2	125206	The cabin was filled with the savory scent of onions and wild garlic i had no appetite .	My vegetable stew was bubbling , and .	but
2	121797	She had been upset feel a little embarrassed .	Accepted the excuse making james .	but
3	136655	By god , he would do it .	He had to personally pat down every dignitary who entered the event .	if
0	77642	You 'd lost a lot of blood .	Then you were operated on .	and
3	47856	I had to test my theory .	Even to discount it .	if
